call_id,call_datetime,call_date,call_month,call_hour,agent_id,phone_number,customer_age_group,customer_gender,call_result,product_id,call_duration_min,is_duplicate_call
C00001,2024-10-04 15:38,2024-10-04,2024-10,15,A002,080-6018-3666,20代,女性,断り,,12.0,0
C00002,2024-08-14 17:12,2024-08-14,2024-08,17,A012,080-5917-8742,40代,女性,断り,,13.0,1
C00004,2024-09-30 12:17,2024-09-30,2024-09,12,A005,080-7089-5269,不明,男性,不在,,1.0,0
C00005,2024-01-04 13:32,2024-01-04,2024-01,13,A008,070-1674-8622,30代,女性,断り,,5.0,0
C00006,2024-08-14 13:43,2024-08-14,2024-08,13,A002,090-4394-5627,30代,男性,断り,,5.0,1
C00008,2024-12-10 12:10,2024-12-10,2024-12,12,A010,080-1231-4156,30代,男性,検討中,P004,15.0,1
C00009,2024-09-23 19:41,2024-09-23,2024-09,19,A006,080-5735-4396,不明,女性,断り,,9.0,1
C00010,2024-05-14 14:54,2024-05-14,2024-05,14,A015,090-9067-3301,30代,女性,不在,,1.0,1
C00011,2024-06-10 14:27,2024-06-10,2024-06,14,A014,070-8371-7077,40代,女性,断り,,15.0,1
C00012,2024-07-01 16:08,2024-07-01,2024-07,16,A007,080-2734-4986,50代,男性,コールバック希望,P003,3.0,0
C00013,2024-05-13 13:23,2024-05-13,2024-05,13,A011,070-6965-4912,40代,男性,成約,P004,35.0,1
C00014,2024-09-16 14:17,2024-09-16,2024-09,14,A010,090-2442-4131,30代,女性,成約,P002,15.0,1
C00015,2024-12-03 14:58,2024-12-03,2024-12,14,A001,080-9692-5831,30代,女性,不在,,0.0,1
C00016,2024-01-29 16:17,2024-01-29,2024-01,16,A002,090-8448-2770,60代以上,男性,断り,,10.0,1
C00017,2024-02-07 13:49,2024-02-07,2024-02,13,A003,080-2109-8910,50代,女性,不明,,0.0,1
C00018,2024-02-15 14:20,2024-02-15,2024-02,14,A009,080-3960-2926,50代,女性,断り,,15.0,1
C00019,2024-02-05 18:44,2024-02-05,2024-02,18,A003,080-9674-6856,60代以上,女性,不在,,1.0,0
C00021,2024-01-12 12:41,2024-01-12,2024-01,12,A010,090-5923-8259,50代,男性,断り,,9.0,1
C00022,2024-09-19 13:36,2024-09-19,2024-09,13,A001,070-3406-1916,60代以上,女性,断り,,3.0,1
C00023,2024-05-24 15:40,2024-05-24,2024-05,15,A008,070-5382-9906,20代,男性,成約,P001,28.0,0
C00024,2024-09-19 18:05,2024-09-19,2024-09,18,A003,090-3248-1185,40代,男性,断り,,10.0,1
C00025,2024-12-16 14:17,2024-12-16,2024-12,14,A013,090-3248-1185,30代,女性,断り,,14.0,1
C00026,2024-11-27 15:29,2024-11-27,2024-11,15,A003,090-2668-1914,50代,女性,断り,,14.0,1
C00027,2024-10-21 13:39,2024-10-21,2024-10,13,A007,090-9108-1668,20代,女性,不在,,0.0,1
C00028,2024-05-13 18:37,2024-05-13,2024-05,18,A003,090-5856-4154,40代,男性,不在,,1.0,1
C00029,2024-10-22 12:49,2024-10-22,2024-10,12,A015,070-7088-4903,30代,男性,成約,P003,15.0,1
C00030,2024-06-27 19:20,2024-06-27,2024-06,19,A009,070-4187-8450,50代,男性,不在,,0.0,0
C00031,2024-08-05 19:14,2024-08-05,2024-08,19,A003,070-8414-2868,40代,男性,コールバック希望,P002,15.0,1
C00032,2024-07-11 10:55,2024-07-11,2024-07,10,A002,070-2867-7837,40代,女性,不在,,0.0,0
C00033,2024-04-11 12:24,2024-04-11,2024-04,12,A007,080-9701-7460,20代,男性,断り,,4.0,1
C00034,2024-10-23 17:07,2024-10-23,2024-10,17,A015,090-8445-6439,60代以上,女性,成約,P002,13.0,1
C00035,2024-04-08 12:05,2024-04-08,2024-04,12,A007,070-7139-2850,40代,男性,不在,,1.0,1
C00036,2024-01-04 13:26,2024-01-04,2024-01,13,A001,070-3826-7150,40代,女性,断り,,4.0,1
C00037,2024-11-29 13:44,2024-11-29,2024-11,13,A007,070-5237-3999,40代,女性,成約,P006,35.0,1
C00038,2024-11-27 18:02,2024-11-27,2024-11,18,A005,080-9419-2349,40代,男性,成約,P002,60.0,1
C00039,2024-03-12 16:48,2024-03-12,2024-03,16,A003,080-9089-5975,30代,女性,成約,P005,35.0,0
C00040,2024-07-31 17:26,2024-07-31,2024-07,17,A010,070-3390-1265,50代,不明,検討中,P005,5.0,0
C00041,2024-02-26 17:01,2024-02-26,2024-02,17,A015,070-5465-3695,40代,女性,断り,,7.0,0
C00042,2024-06-13 10:01,2024-06-13,2024-06,10,A010,090-6770-3773,50代,男性,検討中,P004,3.0,1
C00043,2024-10-03 13:38,2024-10-03,2024-10,13,A001,090-1917-8317,不明,男性,不在,,0.0,1
C00044,2024-04-24 11:04,2024-04-24,2024-04,11,A015,080-6681-8928,60代以上,女性,成約,P004,24.0,1
C00045,2024-11-04 17:00,2024-11-04,2024-11,17,A014,070-5075-3931,30代,女性,検討中,P004,7.0,0
C00046,2024-09-09 17:54,2024-09-09,2024-09,17,A008,070-5807-9750,30代,不明,断り,,5.0,0
C00047,2024-12-03 11:06,2024-12-03,2024-12,11,A004,070-3138-8433,50代,不明,不在,,1.0,1
C00048,2024-05-08 12:42,2024-05-08,2024-05,12,A004,070-2959-4226,50代,女性,検討中,P006,10.0,1
C00049,2024-08-05 13:09,2024-08-05,2024-08,13,A006,070-6977-3664,50代,不明,断り,,3.0,0
C00050,2024-04-11 19:00,2024-04-11,2024-04,19,A013,080-3039-7029,30代,女性,成約,P001,35.0,0
C00052,2024-05-14 15:07,2024-05-14,2024-05,15,A010,080-5742-2638,30代,男性,不在,,1.0,1
C00053,2024-09-06 17:29,2024-09-06,2024-09,17,A006,080-4496-1886,50代,女性,不在,,1.0,1
C00054,2024-07-08 14:01,2024-07-08,2024-07,14,A013,080-8921-9579,30代,女性,コールバック希望,P002,4.0,0
C00055,2024-10-08 17:08,2024-10-08,2024-10,17,A002,070-4464-6129,40代,男性,不在,,1.0,0
C00056,2024-07-22 17:56,2024-07-22,2024-07,17,A003,090-4569-3532,50代,男性,コールバック希望,P002,5.0,0
C00057,2024-07-01 15:49,2024-07-01,2024-07,15,A004,080-7836-5526,20代,女性,検討中,P005,11.0,0
C00058,2024-12-23 18:33,2024-12-23,2024-12,18,A004,070-7302-6067,不明,男性,検討中,P002,4.0,0
C00059,2024-11-08 14:12,2024-11-08,2024-11,14,A009,070-1833-5934,40代,女性,検討中,P004,7.0,0
C00060,2024-06-13 12:19,2024-06-13,2024-06,12,A008,070-7060-8430,不明,女性,成約,P003,32.0,1
C00061,2024-11-11 15:04,2024-11-11,2024-11,15,A015,090-2085-5942,30代,男性,成約,P004,14.0,1
C00062,2024-03-22 16:25,2024-03-22,2024-03,16,A007,070-2320-3267,50代,男性,断り,,6.0,1
C00063,2024-03-12 18:07,2024-03-12,2024-03,18,A005,090-4372-9836,30代,男性,不在,,0.0,1
C00064,2024-06-17 10:07,2024-06-17,2024-06,10,A013,090-7412-4156,30代,女性,断り,,11.0,0
C00065,2024-08-12 13:07,2024-08-12,2024-08,13,A011,080-7815-2557,40代,男性,断り,,12.0,1
C00066,2024-05-20 18:02,2024-05-20,2024-05,18,A015,090-8988-6449,30代,女性,断り,,7.0,1
C00067,2024-03-27 18:44,2024-03-27,2024-03,18,A010,080-8994-9864,50代,男性,不在,,1.0,0
C00068,2024-02-15 19:38,2024-02-15,2024-02,19,A002,080-6633-4201,50代,女性,コールバック希望,P003,6.0,1
C00069,2024-01-30 16:55,2024-01-30,2024-01,16,A007,080-9461-4154,60代以上,女性,不在,,1.0,1
C00070,2024-05-08 19:05,2024-05-08,2024-05,19,A011,090-7347-6273,40代,女性,成約,P006,35.0,1
C00071,2024-08-12 16:06,2024-08-12,2024-08,16,A010,090-7833-5260,40代,女性,コールバック希望,P006,10.0,0
C00072,2024-12-09 13:38,2024-12-09,2024-12,13,A014,090-6146-6728,40代,男性,成約,P006,13.0,1
C00073,2024-10-24 16:57,2024-10-24,2024-10,16,A006,090-3802-4335,50代,男性,不在,,1.0,0
C00074,2024-08-13 18:36,2024-08-13,2024-08,18,A011,070-9348-4090,60代以上,女性,不在,,0.0,0
C00075,2024-10-17 12:40,2024-10-17,2024-10,12,A004,080-6444-4246,60代以上,男性,コールバック希望,P001,7.0,1
C00076,2024-05-09 13:43,2024-05-09,2024-05,13,A014,070-5098-4704,30代,男性,断り,,6.0,1
C00077,2024-12-23 19:16,2024-12-23,2024-12,19,A008,070-6340-7865,30代,女性,不在,,0.0,1
C00078,2024-06-27 17:11,2024-06-27,2024-06,17,A013,070-8070-7805,30代,男性,不在,,0.0,0
